index,index,time,tem
798,798,4701.239363000001,70.1875
799,799,4705.979413999999,70.25
800,800,4710.859152,70.25
801,801,4715.639376,70.3125
802,802,4720.4396209999995,70.375
803,803,4725.239068,70.4375
804,804,4729.880825,70.4375
805,805,4734.679738,70.5
806,806,4739.479321,70.5625
807,807,4744.04074,70.5625
808,808,4748.760037,70.5625
809,809,4753.480387,70.625
810,810,4758.283713,70.6875
811,811,4762.9215380000005,70.75
812,812,4767.6413410000005,70.75
813,813,4772.439665,70.8125
814,814,4777.2596109999995,70.875
815,815,4781.959619,70.9375
816,816,4786.760161,70.9375
817,817,4791.560047999999,71.0
818,818,4796.361729,71.0
819,819,4801.079404,71.0625
820,820,4805.719403,71.0625
821,821,4810.44102,71.0625
822,822,4815.238783,71.125
823,823,4819.959439,71.1875
824,824,4824.684357,71.25
825,825,4829.4823670000005,71.3125
826,826,4834.281661999999,71.3125
827,827,4839.160802,71.375
828,828,4844.041450000001,71.375
829,829,4848.8426340000005,71.4375
830,830,4853.64058,71.5
831,831,4859.13076,71.5625
832,832,4863.9938569999995,71.625
833,833,4868.761648,71.6875
834,834,4873.482889,71.6875
835,835,4878.201304,71.6875
836,836,4882.841955,71.75
837,837,4887.664494,71.8125
838,838,4892.359865,71.8125
839,839,4897.159916,71.875
840,840,4902.041151,71.9375
841,841,4906.838616,72.0
842,842,4911.753989,72.0
843,843,4916.614056,72.0
844,844,4921.399185,72.0625
845,845,4926.119101,72.0625
846,846,4930.840203,72.125
847,847,4935.661833,72.1875
848,848,4940.439624,72.25
849,849,4945.159008,72.25
850,850,4949.879241,72.3125
851,851,4954.600825,72.3125
852,852,4959.400798,72.375
853,853,4964.200747,72.4375
854,854,4969.002302,72.4375
855,855,4973.801357,72.5
856,856,4978.601488,72.5625
857,857,4983.401799,72.5625
858,858,4988.201069,72.625
859,859,4992.861464,72.6875
860,860,4997.480189,72.6875
861,861,5002.280177,72.75
862,862,5007.000408,72.75
863,863,5012.039759,72.8125
864,864,5016.839376,72.875
865,865,5021.499027,72.875
866,866,5026.379393,72.875
867,867,5031.079243,73.0
868,868,5035.801251,73.0625
869,869,5040.606036,73.125
870,870,5045.398564,73.125
871,871,5050.233381,73.125
872,872,5054.99936,73.1875
873,873,5059.720728,73.1875
874,874,5064.521653,73.25
875,875,5069.24153,73.25
876,876,5073.961813,73.3125
877,877,5078.781039,73.375
878,878,5083.661326,73.4375
879,879,5088.543838,73.5
880,880,5093.322236,73.5625
881,881,5098.041373,73.5625
882,882,5102.841332,73.625
883,883,5107.640266,73.625
884,884,5113.213031,73.6875
885,885,5118.086369,73.75
886,886,5122.893454,73.8125
887,887,5127.639444,73.8125
888,888,5132.519322,73.875
889,889,5137.239226,73.875
890,890,5141.961047,73.9375
891,891,5146.680431,73.9375
892,892,5151.479371,74.0
893,893,5156.199946,74.0625
894,894,5161.00031,74.125
895,895,5165.800116,74.1875
896,896,5170.599692,74.1875
897,897,5175.319371,74.25
898,898,5179.960379,74.3125
899,899,5184.681627,74.3125
900,900,5189.48142,74.375
901,901,5194.201405,74.4375
902,902,5199.00185,74.5
903,903,5203.80184,74.5
904,904,5208.52143,74.5625
905,905,5213.519397,74.5625
906,906,5218.281576,74.625
907,907,5223.079988,74.6875
908,908,5227.87962,74.6875
909,909,5232.679366,74.75
910,910,5237.409417,74.75
911,911,5242.199407,74.8125
912,912,5248.681621,74.875
913,913,5253.480626,74.9375
914,914,5258.288547,74.9375
915,915,5263.078515,75.0
916,916,5267.800134,75.0
917,917,5272.520234,75.0625
918,918,5278.201989,75.125
919,919,5283.001319,75.125
920,920,5287.800509,75.1875
921,921,5292.599418,75.1875
922,922,5297.319997,75.25
923,923,5302.11963,75.25
924,924,5306.919516,75.3125
925,925,5311.740038,75.375
926,926,5317.960004,75.375
927,927,5322.679406,75.375
928,928,5327.39939,75.4375
929,929,5332.19997,75.5
930,930,5337.07976,75.5625
931,931,5341.880506,75.625
932,932,5346.679866,75.6875
933,933,5351.479994,75.75
934,934,5356.279989,75.8125
935,935,5361.079566,75.875
936,936,5365.799487,75.875
937,937,5370.599782,75.875
938,938,5375.339753,75.9375
939,939,5380.041292,75.9375
940,940,5384.841257,76.0
941,941,5389.641919,76.0
942,942,5394.462999,76.0625
943,943,5399.162365,76.0625
944,944,5403.96054,76.125
945,945,5408.762723,76.1875
946,946,5413.651817,76.1875
947,947,5418.719665,76.25
948,948,5423.518824,76.3125
949,949,5428.714359,76.375
950,950,5433.481983,76.375
951,951,5438.280144,76.4375
952,952,5443.080772,76.5
953,953,5447.87927,76.5625
954,954,5452.599676,76.5625
955,955,5457.399586,76.5625
956,956,5462.199614,76.625
957,957,5467.001841,76.625
958,958,5471.820215,76.6875
959,959,5476.60493,76.6875
960,960,5481.399333,76.75
961,961,5486.118922,76.8125
962,962,5490.840816,76.8125
963,963,5495.639405,76.875
964,964,5500.441254,76.9375
965,965,5505.160911,77.0
966,966,5509.96094,77.0625
967,967,5514.681533,77.0625
968,968,5519.68014,77.125
969,969,5524.479259,77.1875
970,970,5529.241476,77.1875
971,971,5533.880931,77.1875
972,972,5538.602336,77.25
973,973,5543.399629,77.25
974,974,5548.199278,77.3125
975,975,5552.919407,77.375
976,976,5557.558879,77.375
977,977,5562.279954,77.4375
978,978,5567.080511,77.4375
979,979,5571.960001,77.5
980,980,5576.761736,77.5625
981,981,5581.479691,77.625
982,982,5586.280208,77.625
983,983,5590.920007,77.6875
984,984,5595.719922,77.75
985,985,5600.440068,77.75
986,986,5605.32161,77.8125
987,987,5610.041581,77.8125
988,988,5614.84047,77.875
989,989,5620.078597,77.875
990,990,5624.841245,77.9375
991,991,5629.66127,78.0
992,992,5634.44299,78.0
993,993,5639.161721,78.0
994,994,5643.881413,78.0625
995,995,5648.601009,78.125
996,996,5653.399791,78.1875
997,997,5658.200567,78.1875
998,998,5663.041965,78.25
999,999,5667.720096,78.25
1000,1000,5672.521554,78.25
1001,1001,5677.260176,78.3125
1002,1002,5682.039447,78.375
1003,1003,5686.840353,78.375
1004,1004,5691.646726,78.5
1005,1005,5696.439437,78.5625
1006,1006,5701.259817,78.5625
1007,1007,5705.960066,78.625
1008,1008,5710.759764,78.6875
1009,1009,5715.481702,78.75
1010,1010,5720.760198,78.75
1011,1011,5725.559319,78.8125
1012,1012,5730.121713,78.8125
1013,1013,5734.84152,78.875
1014,1014,5739.641527,78.9375
1015,1015,5744.441009,78.9375
1016,1016,5749.321399,78.9375
1017,1017,5754.121465,79.0
1018,1018,5758.921951,79.0625
1019,1019,5763.723525,79.0625
1020,1020,5768.522033,79.0625
1021,1021,5773.31955,79.125
1022,1022,5778.12056,79.1875
1023,1023,5782.921538,79.25
1024,1024,5787.721229,79.25
1025,1025,5792.520199,79.3125
1026,1026,5797.399276,79.3125
1027,1027,5802.120255,79.375
1028,1028,5807.381896,79.4375
1029,1029,5812.473249,79.5
1030,1030,5817.507277,79.5625
1031,1031,5822.28058,79.5625
1032,1032,5827.079828,79.625
1033,1033,5831.880138,79.625
1034,1034,5836.678869,79.6875
1035,1035,5842.280205,79.6875
1036,1036,5847.080478,79.75
1037,1037,5851.879892,79.8125
1038,1038,5856.679881,79.875
1039,1039,5861.48008,79.875
1040,1040,5866.279929,79.9375
1041,1041,5871.080017,80.0
1042,1042,5875.801516,80.0
1043,1043,5880.522833,80.0
1044,1044,5885.241309,80.0625
1045,1045,5889.962905,80.0625
1046,1046,5894.763754,80.125
1047,1047,5899.561424,80.1875
1048,1048,5904.362127,80.1875
1049,1049,5909.161978,80.25
1050,1050,5913.960978,80.3125
1051,1051,5918.759582,80.3125
1052,1052,5923.480903,80.375
1053,1053,5928.279415,80.375
1054,1054,5933.080087,80.4375
1055,1055,5937.880352,80.5
1056,1056,5942.601575,80.5
1057,1057,5947.3215,80.5625
1058,1058,5952.22166,80.5625
1059,1059,5957.019676,80.625
1060,1060,5961.819405,80.6875
1061,1061,5966.600147,80.75
1062,1062,5971.399428,80.75
1063,1063,5976.200153,80.75
1064,1064,5980.921456,80.8125
1065,1065,5985.562257,80.875
1066,1066,5990.628866,80.875
1067,1067,5995.403341,80.9375
1068,1068,6000.201117,81.0
1069,1069,6005.001225,81.0625
1070,1070,6009.801714,81.125
1071,1071,6014.601886,81.125
1072,1072,6019.532233,81.1875
1073,1073,6024.440145,81.1875
1074,1074,6029.272477,81.1875
1075,1075,6034.061141,81.25
1076,1076,6038.84224,81.3125
1077,1077,6043.659927,81.375
1078,1078,6048.539479,81.375
1079,1079,6053.239637,81.4375
1080,1080,6057.959678,81.4375
1081,1081,6062.760787,81.5
1082,1082,6067.480075,81.5625
1083,1083,6072.199813,81.5625
1084,1084,6077.000012,81.5625
1085,1085,6081.800174,81.625
1086,1086,6086.439423,81.6875
1087,1087,6091.159414,81.6875
1088,1088,6095.801802,81.6875
1089,1089,6100.601401,81.8125
1090,1090,6105.401105,81.8125
1091,1091,6110.201433,81.875
1092,1092,6115.001613,81.9375
1093,1093,6120.336767,82.0
1094,1094,6125.082158,82.0
1095,1095,6129.881827,82.0
1096,1096,6134.684541,82.0625
1097,1097,6139.485121,82.125
1098,1098,6144.282938,82.1875
1099,1099,6149.082722,82.1875
1100,1100,6153.96146,82.1875
1101,1101,6158.7612,82.25
1102,1102,6163.561193,82.25
1103,1103,6168.360198,82.3125
1104,1104,6173.161442,82.3125
